,ideology,sentence
0,Liberal,"Apart from the legal rights , the fact that lesbian women and gay men invent commitment ceremonies suggests that some want the intangible benefits of a public wedding : the joyous celebration , the approving social notice , the community 's support for their loving sharing of past , present , and future-and sometimes the sanctification of a religious ceremony ."
1,Liberal,"Today , a sizable and growing number of individuals and institutions have identified the deep chasm of global poverty as their central moral concern and have made significant commitments to overcome the global apathy that leads to massive suffering and death . ''"
2,Liberal,"Abstract : Democrats have been stumbling on education policy for years , fracturing the progressive coalition , tainting the party brand , creating undeserved political opportunities for Republicans , and , worst of all , standing in the way of school reforms that primarily benefit low-income and minority children ."
3,Liberal,"Abstract : At the retail level , this system depended on a far-flung industry to create those assets , which involved deceptive products like sub-prime loans , hidden credit-card charges , and predatory forms of consumer credit such as payday loans with annual interest rates in excess of 400 percent ."
4,Liberal,Molyneux then examines public-opinion polls to find that when Obama and the Democrats reframe the debate around the purpose of government - to provide secure retirements or to gut them in favor of tax cuts for the rich - Obama and the Democrats do very well .
5,Liberal,"When the Republican Senate leadership unveiled rules changes to make it effectively impossible for Democrats to block extremist judicial nominees with a filibuster , the Democratic leadership threatened to use parliamentary tactics to shut the place down ."
6,Liberal,"Often their land has been stolen as a result of the inroads of agribusiness , while they are also forced from the land by low prices they have historically received for their products and threats against campesino lives ."
7,Liberal,"Neither tax nor regulatory law distinguishes between productive borrowing and abusive borrowing , and the bankruptcy code allows a corporation to wipe off old debts , no matter how abusively or corruptly they were incurred ."
8,Liberal,Rand Paul 's Medicare plan relies on consumer-directed cost controls via the competitive Federal Health Benefits Plan to rein in medical costs and thus cut government spending .
9,Liberal,The problem is that noncitizens are afraid to vindicate their rights because they fear the immigration consequences of complaining .
10,Liberal,"There are different natural alternatives and strategies you can use to get more sleep or cure slight cases of insomnia , including taking herbs to making practical changes like learning to handle stress better , changing behaviors or patterns , or getting counseling ."
11,Liberal,"The Taft-Hartley Act of 1947 had rolled back union protections ; the subsequent decline , in numbers and power , of labor unions would change the course of liberalism , as its strongest force for economic populism lost political influence both within the movement and in the wider world ."
12,Liberal,"This dynamic creates the `` race to the bottom '' for the world 's working people , showing how the `` freedom '' of the market degenerates into class war . )"
13,Liberal,"The letter argued that the standards would lead to `` long hours of instruction '' in literacy and math , inappropriate testing , and didactic instruction that would '' ( cut ) off children 's initiative , curiosity , and imagination , limiting their later engagement in school and the workplace , not to mention responsible citizenship ."
